produto
CAL-D-MIX PET LIQUIDO 100ML
CANINUS PROTEIN BAR - 1 Unidade
CANINUS PROTEIN BAR 27G
Ceftrat 100mg 12 Comprimidos para Cães
Ceftrat 200mg 12 Comprimidos
CHIFRE BOVINO
CIBAU ADULTO MAXI 25 KG
CISTIMICIN STICKS
CLOREXIDERM 230 ML
CLOREXIMICOL 230 ML
COLEIRA LEEVRE 48CM
CONTRALAC 20
CONTRALAC 5
DECRISE 100MG COM X 30
DECRISE 200MG COM X 30
DECRISE 50MG COM X 30
DEFENGY OC 40G
DEFENGY OC 80G
Dermogen Oto para Cães e Gatos 100 ml
Dermotrat Creme 20 g
DEXAGARD 0,5 MG C/ 20 COMP.
DORAX PET 6 MG COMP 16 BL X DISP
DOXITRAT 80MG 12 PASTILHAS
Doxy 100 Cepav 14 comprimidos - VALIDADE PRÓXIMA
DOXY 100 MG 14 COMPRIMIDOS
Doxy Suspensão Pó 300 mg
DSFSDSF
DUPRANCIL 40GR
Elura 20mg/mL - Capromerelina Solução Oral 15mL para Gatos
ENERGY PET 125 ML
ENISYL F
ENROPET 150MG
ENROTRAT 100MG
ENROTRAT 200MG
ENROTRAT 25 MG
Enterex Antitóxico - Envelope de 8g - 1 un
ENZYMASE 30 COMP
EQUI UP M.O. 80G
FELURO 60ML
FITODENT 160G
FN LIFE AD PORT MINI/PEQ 10,1KG
FN LIFE SENIOR PORT MIN/PEQ10,1KG
Focinho Suino 2 unid (Focinho suino
FORTEKOR DUO 1.25/2.5MG X30BLCD BL
GIARDYPET 1,2 GRS C/4 COMP
GLOBION PET - 30 COMPRIMIDOS
GOOD CARE HALICLEAN 100 GR
Hepvet Equinos Pasta 39g
Hidratante Hidrapet Skin On 20ml - Agener
Hidratante Revipel 70g
HUMILAC 250 ML
HYPOALLERGENIC FELINE 4KG
INJETAVEL OCT 50ML
KETOFEN 20 MG
KETOFEN 5 MG 10 COMPRS
Lexin 300mg Duprat 300 mg - cartela com 6 comprimidos
LYSIN CAT 100ML
Mammy Dog 120g (Pote)
MAMMY DOG TABS 100GR
MASTIG - BOM BOM RECHEADO 5 (1CX X 16PCT X 3UN)
MASTIG - CANELA BOVINA NATURAL UNIDADE
MASTIG - FEMUR SUINO NATURAL UNIDADE
MATA BICH MAX PRATA 200ML
MATA BICHEIRA PRATA SILVERBAC 300ML
MAXI GUARD ORA ZN 59ML
MECTAL PASTA GATOS
Mega Mater Pet para Cães e Gatos 60 Cápsulas - Agener
METACELL PET 50 ML
Meticorten 20 mg Prednisona Cães e Gatos 10 comprimidos
Meticorten 5 mg Prednisona Cães e Gatos 10 comprimidos
MICODINE 500ML
MONOVIN A INJETAVEL 20 ML
MOVOFLEX CÃES GRANDES - 6g
MOVOFLEX CÃES MEDIOS - 4G
MOVOFLEX CÃES PEQUENOS - 2g
NEODEXA F CREME 15 GRS
NUTRALIFE 14GR
NUTRALOGIC
ORELHA SUINA NATURAL
ORG CALMYN DOG 15g
ORG DOG SBELT 40ML
OTIFLEX LIMPIADOR 25ML
OTODEX 30ML
Pet Glove Soft Care 50g Pet Society
PETPRAZOL 10 C/30COMP
PETSPORIN 75 MG Cartela 12 comprimidos - VALIDADE PRÓXIMA
PETSPORIN HOSPITALAR 600 MG - 10 X 12
PETSPORIN HOSPITALAR 75 MG
PETZI GATOS COMP
PETZI PLUS 10 KG 10X12X800MG (1 PARA 10KG)
PETZI PLUS 400MG (1 PARA 5 KG)
PIMOCOR 1,25MG 30 COMP
PIMOCOR 5MG 30 COMP
PIPIDOG 20ML
PO HEMOSTATICO PET 25 GR
POLIGYN 10 - 30 CP - CAES 0,1 A 10KG
POLIGYN 25 - 30 CP - CAES DE 10,1 A 25KG
PREDIDERM 10 X 5 MG
Prediderm Ourofino cartela 10 Comprimidos Opções:20mg
Prediderm Ourofino cartela 10 Comprimidos Opções:5mg
PREMIER NUTR CLIN CAES CARDIO MED/GRD PORTE 10,1 KG
PROEX 100MG
PROEX 200 MG - 20 CP
PROEX 50 MG - 20 CP
PROMATER 30ML
PRONEFRA 60ML
Pulmonil Gel 480g - VALIDADE 31/05/2025
QPELO PET COMPRIMIDO X 40 (AL)
Regenerador Osteoarticular Osteocart Plus para Cães
Regepil 50 ml
RENADOGS 85G
RENADVANCED CATS 40G
RENADVANCED DOGS 70G
ROYAL CANIN CAT PREMIUM AD BELEZADA PELAGEM 10,1KG
ROYAL CANIN CAT PREMIUM AD VITAL 10,1KG
ROYAL CANIN CAT PREMIUM FILHOTE 10KG
ROYAL CANIN CAT PREMIUM FILHOTE 1KG
ROYAL CANIN OBESITY CANINE 1.5KG
SANADOG 125 ML
SANADOG 500 ML
SANUS 100MG CAPS X 30
SANUS 200MG CAPS X 30
SATIETY FELINE 4KG
SEMINTRA SOL ORAL 30ML VET BR
SENIOX T CAP X 30 - UN
Sept Clean Oto 100ml
SERENLAC 225 MG COM X 15
SERENLAC 225 MG COM X 30
SERENLAC 75 MG COM X 15
SHAMP. SAN. DOG ANTIPUL. 3X5LT
SINDOLOR 250MG/20MG
SINDOLOR 750MG/60MG
SINDOLOR GATOS 50/8MG
SINGESTAR COMPRIMIDOS
Stomorgyl 10 com 20 Comprimidos
Stomorgyl 2 com 20 Comprimidos
Stomorgyl 20 com 10 Comprimidos
Stress Away Soft Care Pet Society Óleo Capim Limão 100mL
SUROSOLVE LIQUID 125ML X1BOTL BL
TETISARNOL 125 GR SPRAY
TETISARNOL SPRAY 100 ML
TIURAN AEROSOL 125ML
TIURAN SOLUCAO 100ML
TIURAN SOLUCAO 30ML
TONNUS VAQ JCR 6KG
TOP DOG 10 4X1000 MG
TOP DOG 2,5 4X250 MG
TOP DOG 30 12X2X3000 MG
Tossicanis Provets Simões para Cães 90 ml
TYROX 600 MCG 60 CP
VARENZIN 27ML
VERAFLOX 2,5% ORAL SUSP. 15 ML
Vermígufo para Cães e Gatos Duprantel de Amplo Espectro 4 Comprimidos
VETLIFE CAN ADT OBESITY DIABETIC FISH 10,1KG
Vetnil Skin Care Clean Spray 250ml Higiene e Cuidado da Pele
