id;nome;motivo
4c5f5a9a-5c3b-4b4b-b147-787c0c8c90ad;AREIA BIODEGRADAVEL TOFU CARVÃO 2KG;sem código
4cb411e2-b490-4e4c-8a38-17f5ef5124f2;Premier Nutrição Clínica Hipoalergênico Cordeiro e Arroz Cães de Pequeno Porte;sem código
4defab17-0315-45af-aa2a-5e5562a9fa10;Codigo/Referencia: C12041 - Escova rasqueadeira de botao de plastico curva  (120);sem código
4e60e7e7-26e2-4c6e-bf96-169323265faf;FLOR TECIDO PRENSADA 6 PETALAS;sem código
500ac644-47f8-4983-94c5-51fcda27206f;Premier Nutrição Clínica Cães Gastrointestinal Pequeno Porte;sem código
50ebf16b-099a-41e7-94bd-328b0390facc;Petisco Churu Patê para Gatos 4x14g;sem código
51174f65-c92d-4df6-b7a6-4d8811531c45;Food Dog Adulto - Suplemento Vitamínico, Mineral e Aminoácido para Cães;sem código
511cda0f-a2dd-47b5-ab63-db81cccc1f65;Sementes de Flores Feltrin – 36 Variedades à Escolha | Fácil Cultivo e Alto Florescimento;sem código
516bc34e-8c9a-492a-86c7-8f7edfc5cda7;TAPETIM GREAT PETS AVULSO;sem código
52a43a54-e11b-41b3-9b82-85d4f195a24e;Ração Premier Nutrição Clínica Renal Porte Pequeno;sem código
5357a3a1-7227-434b-9a78-9478d9dbbe08;FLOR ORGANZA  - Rosa BB - 10;sem código
55c01d3a-282f-456c-b2b8-3f315c80c26e;Premier Nutrição Clínica Cães Gastrointestinal Pequeno Porte - 2kg;sem código
56055a9d-ae09-44e1-a60e-e83258da02ae;Brinquedo Pelúcia Salgadinho para Pet Dogritos e Lazy Dog;sem código
5c03b4e3-af86-4dac-b96d-41f3413a6d4b;Brinquedo de Pelúcia com Corda;sem código
5e4a4885-d425-46b7-8074-210710c9c9f4;SILICA GROSSA GREAT PETS 1,6KG;sem código
61f44f80-df86-43b9-8d89-ce2c9e676400;Ração Premier Nutrição Clínica Renal Porte Pequeno - 2Kg;sem código
65b891cf-c895-4b06-a1a1-d645bfcb96d7;BOLA OURICO LED - Roxo - G - 9cm;sem código
69a28295-2f71-4d54-be42-9ae8f54c9471;COLEIRA TAG ID - Laguna - M;sem código
6a1c8226-fded-4350-895f-32aabfb61ab4;Comedouro Antiformiga Pet Toys 1000ml - Transparente Glíter;sem código
6a9bf9fc-e9d6-4d5e-88aa-6bf3e9d2bcb0;BRINQUEDO DE CORDA MIX;sem código
6c8be523-5a71-48ad-a0a6-7ba37e9b7117;Premier Raças Específicas Maltês Filhotes;sem código
6ff04ad4-7983-4383-8fe3-142eda36f41b;TAPETE GELADO 50X90 G ESTAMPADO - Siri;sem código
739a7fa4-8d84-4887-ba7f-e5a6824c71a5;TAPETE GELADO 50X90 G ESTAMPADO - Estrelas;sem código
750689eb-2210-4a22-8cd6-47612e04061c;Comedouro Grande Anti-Formiga 1900ml;sem código
754ae7c1-5eac-4617-b569-800ce5ffab13;MORDEDOR SUPER BOWL LED;sem código
784edcdd-077b-40dd-bf5f-d6a11bb96755;Ração Farmina N&D Ancestral Grain Frango e Romã Gatos Adultos Castrados 7,5kg;sem código
78aa28ce-d10f-43c8-893f-baba2e94c2bb;Mordedor de Borracha Resistente Vermelho;sem código
7a79e29b-45ca-4155-90f1-3f14b32d9dec;CASA ECO COLORS DOG HOUSE EVOLUTION n.05;sem código
7adb7ddc-c47d-4cdf-b53d-6bc7bb157de6;FLOR ORGANZA  - Rosa - 20;sem código
7bf926c2-5115-40f1-9f87-c0b9b59c5ce9;TAPETE GELADO 50X90 G ESTAMPADO - Urso;sem código
7ddee465-6f3f-45c0-9f85-5e0f4bbf1230;Bolsa de Transporte Aéreo Pet Gol - São Pet 43X32X24CM;sem código
7ebef72d-9758-4650-8937-0907c90ff5ec;PROTETOR DE PESCOCO PET M;sem código
80290020-71d5-4f95-a559-29b709a1ec8f;COLEIRA+GUIA  REFLETIVA;sem código
812a1a0b-762c-4a2f-93c8-b711a83ee17a;Caixa Transporte Love Vermelha Tamanho:n.03;sem código
81bf268b-4b06-445b-b31a-1662e03cd793;Brinquedo Mordedor Pneu de Borracha;sem código
81c3ae11-51f6-4206-b328-e0e6607bb38a;AREIA BIODEGRADAVEL FINA 3,8KG;sem código
833a84be-5ab7-41b1-a943-b7f4ae769bc4;TAPETE GELADO 50X90 G ESTAMPADO - Osso;sem código
83caa501-59e6-42f3-bab4-d15f2c81fad0;TAPETE GELADO 50X90 G ESTAMPADO - Patinhas;sem código
88355691-85b0-4f79-a396-386ea4e7f851;MORDEDOR FRUTAS CRISTAIS;sem código
88cecf54-1964-46d0-b9dd-d77a06759d11;FLOR ORGANZA  - Rosa BB - 30;sem código
8a7c0413-89a3-42bf-b8ee-e35bb4e83af4;CONJUNTO COLEIRA CABRESTO+GUIA CORDA;sem código
8d9e21c0-2416-4419-9dbc-443df33f465d;Brinquedo Osso de Bamboo Truqys para Cães;sem código
8e2e6486-54c0-43b7-984f-fea704581ec5;COLEIRA CABRESTO - Maresia - GG;sem código
8f7bddc9-3ef2-4969-a628-b9184045db82;Brinquedo Mordedor Garrafa com Bola de Tênis e Apito para Cães - Verde;sem código
9056411d-2414-4151-946c-dc872bb8fcec;Comedouro Pet Toys Gatos 160ml;sem código
912770c6-2f77-4e06-95a9-a44b8ef466bb;Comedouro Antiformiga Pet Toys 300ml;sem código
92dbcbae-b4fc-485b-959b-da1d9ea70e6c;Comedouro ou Bebedouro Alto Pet Toys 250g/500ml;sem código
93cdbb40-2036-40d1-912e-a5b76b457f3b;Pelo e Derme Gold - Vetnil;sem código
9480b136-5c26-41f0-8fdc-a22b31164f61;FLOR ORGANZA  - Rosa BB - 20;sem código
9501f0f0-3abc-4b1c-a446-3b2c36fbaec3;Brinquedo de Pelúcia Garrafa de Champagne - Rosa;sem código
95142356-dcc7-4fde-bbae-3e9848634586;Comedouro Pet Toys 1000ml - Cores Metalizadas;sem código
962028dd-5ab6-4b88-bada-b4659cc70b35;PEITORAL H +GUIA TOH;sem código
99cbb432-8a6d-411b-bee8-739c822ee289;Petisco Doogs Dental Care Filet Mignon para Cães;sem código
9a9cfb60-4ca5-48a0-a75e-bdf993cabdf2;Comedouro Funcional Alto Lento Pet Toys 250ml;sem código
9bca8279-7760-446d-b488-43b7f8948488;GUIA+PEITORAL DEGRADE PP;sem código
9c28c449-5bd9-44e3-91c6-b7dd2ba859df;Comedouro Grande Anti-Formiga 1900ml;sem código
a7e0055e-3f1a-429e-bb54-8a84c2253975;COLEIRA CABRESTO;sem código
ae6d0f82-c0bf-4396-854a-499ffb0dd70f;SILICA MICRO GREAT PETS 1,6KG;sem código
aec074e0-c1d5-48a3-80aa-2d9619c6691b;MAQUINA DE TOSA MO3 PROPETZ - MAQUINA ACABAMENTO - USO DOMESTICO;sem código
af2c4521-7262-485c-bcbe-719ba6a8886d;Brinquedo Mordedor Garrafa com Bola de Tênis e Apito para Cães - Azul;sem código
afe929fb-2a25-491e-b313-8766a689838f;Tapete Higiênico Zee.Dog Zeepad para Cães com 30 Unidades Preto ou Branco;sem código
b0b56f15-f862-4ee0-93e4-f297ed2d5405;TAPETE ULTRA SECÃO GREAT PETS;sem código
b0f3c4ee-acd1-44ff-9638-80b9021b4e25;Brinquedo Macaco de Borracha Maciça;sem código
b18a281f-6671-4da5-9e00-91f493d458cf;COMEDOURO INOX - Lilas;sem código
b191be89-287d-435c-9e27-5dff08753171;Premier Raças Específicas Maltês Filhotes - 1kg;sem código
b2b71e02-38e1-4566-ada2-9df6aef92f08;Granulado Sanitário Katbom Tradicional - Areia Higiênica para Gatos;sem código
b3e248cb-afff-493a-9e85-1d86f3ac1378;Comedouro Funcional Alto Antiformiga Pet Toys para Gatos 250ml;sem código
b727a1c5-5245-4329-80c6-cc8c6149f39d;Food Dog Filhote - Suplemento Vitamínico, Mineral e Aminoácido para Cães;sem código
b73943e7-d873-4516-b2f7-b3d208f7aa03;Guia + Peitoral H de gato;sem código
b7d3300b-b9bf-41c1-811a-9c59c9d06c7f;BRINQUEDO DE CORDA MIX - Bola - 3 Unidades;sem código
b7fb9be8-ecab-41a7-8efc-b874bc942948;TAPETE GELADO 50X90 G ESTAMPADO - Cacto;sem código
b92dfdb0-cb4a-4d55-a37b-4992337487c0;Pelúcia Raposa 35cm Brinquedo Pet Macio;sem código
ba4c0471-4464-4d0b-89ae-03ab87160d42;Brinquedo Pato de Pelúcia - Azul;sem código
bd0576a5-6ae8-483b-9407-2e9e0b96cecf;Referencia/Codigo: C12111 - Escova Rasqueadeira Dispenser pelos (120);sem código
bfbfa33f-461c-42bc-8216-8a2f1ab39ac3;TAPETE GELADO 50X90 G ESTAMPADO - Sapinho;sem código
c00f1fc2-c03f-4859-ac3d-a3ee730866ad;Rimadyl Zoetis 14 Comprimidos;sem código
c2f725f0-c43a-477e-8a8c-6060f67a001e;FeliComfort - Feliway Redução/Prevenção de Problemas Comportamentais de Gatos - Difusor;sem código
c43408e9-d463-46c0-9d42-a0bdc137ebc2;Zelotril 12 comprimidos para Cães e Gatos;sem código
c5baa125-3f1d-4a6a-8365-1d0b6e33871b;Food Dog Fit Fibras - Suplemento Vitamínico, Mineral e Aminoácido para Cães;sem código
c69ce949-b00f-490f-a63c-54f66fb8c8eb;Petpril 30 Comprimidos Agener União Vasodilatador - 05 mg;sem código
c75c7585-50d8-4e68-8103-236967aa46b9;COLEIRA TAG ID;sem código
c8698936-9006-4bdf-b778-facc6eca6f1b;BICHINHO PELUCIA SORTIDO - Pato;sem código
c8edbf02-0f12-4c19-9d77-148524b16980;NexGard Antipulgas e Carrapatos para Cães de 10,1 a 25kg;sem código
c99e0917-90c8-45d5-b0f4-9118d744c52a;Ovo de Páscoa Pet: Bifinho com Sabores Snack e Petisco;sem código
cabb5a77-f018-4960-94ff-a8471a6fd329;Sementes de Flores Feltrin – 36 Variedades à Escolha | Fácil Cultivo e Alto Florescimento - Kit 10 Pacotes à escolha;sem código
cb5ec265-a0dd-46e9-9904-d92140f9d414;COLEIRA CABRESTO - Azul - GG;sem código
cd3bec8a-cca3-4bc0-bbb3-fa6334146056;MORDEDOR SORVETINHO - Sortido - 1 Unidade;sem código
ce819887-8ce0-4bd2-9682-442c4ab4dd3e;Brinquedo Bola Interativa Porta Petisco para Cães - 13 CM - Vermelho;sem código
cfafbb09-8f66-49e6-9865-dd1968c3645e;PELUCIA OSSO - Bala;sem código
d11de8a3-536f-4104-9b6d-08b9d29be148;FLOR ORGANZA  - Rosa - 30;sem código
d1df2a79-d4ca-4b49-bb75-e4f993f1cbe5;FLOR ORGANZA;sem código
