nome_catalogo;ean;nome_planilha
AREIA BIODEGRADAVEL GROSSA 2kg;7898708041394;AREIA BIODEGRADAVEL GROSSA - 2KG
AREIA BIODEGRADAVEL FINA 2kg;7898708040632;AREIA BIODEGRADAVEL FINA - 2KG
